ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
AUTO_TOOLTIP_LINE2	Προσοχή: Μπορείς να καθορίσεις το διάστημα ενεργοποίησης (σε δευτερόλεπτα) κάτω από την κάθε ικανότητα.
AUTO_TOOLTIP_LINE3	Φίλτρα: Επίλεξε φίλτρα για τη μάχη και τράβα τα στις θέσεις. (Προνομιούχο)
AUTO_TOOLTIP_LINE4	Προσοχή: Τα φίλτρα HP και SP ενεργοποιούνται όταν η αξία πέσει κάτω από το ποσοστό που αναγράφεται κάτω από το φίλτρο.
AUTO_TOOLTIP_LINE5	Σημείωση: Η αυτόματη χρήση Ικανοτήτων, Φίλτρων και Αναγέννησης μπορεί να ενεργοποιηθεί στο Item shop.
AUTO_TOOLTIP_TITLE	Βοήθεια Αυτόματου κυνηγιού
BATTLE_POINT	Πόντοι μάχης
BATTLE_ROYALE_ALIVE_COUNT	Επιζώντες: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Αυτό δεν μπορείς να το ανοίξεις εδώ.
BATTLE_ROYALE_KILL_COUNT	Νικημένοι αντίπαλοι: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Συμμετοχή
BATTLE_ROYALE_MAINBUTTON_CANCEL	Ακύρωση
BATTLE_ROYALE_MAINBUTTON_EXIT	Έξοδος
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Εκκίνηση
BATTLE_ROYALE_NOTIFY_APPLICATED	Εγγράφηκες για το Battle Royale. Μόλις συγκεντρωθούν αρκετοί συμμετέχοντες, μπορείς να μπεις.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Η εγγραφή για το Battle Royale έληξε.
BATTLE_ROYALE_NOTIFY_STARTABLE	Τώρα μπορείς να μπεις στο Battle Royale. Κάνε κλικ στην επιφάνεια event, για να συμμετάσχεις.
BATTLE_ROYALE_NOTIFY_WINNER	Κέρδισες.
BATTLE_ROYALE_PERSONAL_RANK	Προσωπική θέση: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Θέλεις να χρησιμοποιήσεις ατελείωτη αντοχή;
BATTLE_ROYALE_WHO_KILLED	Ο παίκτης που σε σκότωσε: %s
BATTLE_ROYALE_WINNER_1	Κέρδισες το Battle Royale.
BATTLE_ROYALE_WINNER_2	Σε λίγα δευτερόλεπτα θα τηλεμεταφερθείς στο χωριό.
BEAD	Ανιμασφαίρα
BEAD_TIME_REMAINING_TO_GET	Φόρτωση Ανιμασφαίρας σε: %d λεπ.
BELT_RENEWAL_BANN_SIGN	Δεν μπορείς να συνεχίσεις.
BELT_RENEWAL_INVENTORY_FULL	Δεν έχεις αρκετό χώρο στον κατάλογό σου.
BNW_COIN	Νόμισμα Μάντη
BUY_LIMIT_LEVEL	Όριο αγοράς: %s
CANNOT_ATTACK_DEST_IN_SAFE	Ο αντίπαλος είναι πολύ μακριά.
CANNOT_ATTACK_SELF_IN_SAFE	Δεν μπορώ να επιτεθώ στον αντίπαλο από εδώ.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Δεν μπορείς να κάνεις τίποτα άλλο όσο έχεις ανοιχτό το ιδιωτικό κατάστημα.
CANNOT_EQUIP_IN_EXCHANGE	Δε μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_EQUIP_IN_SHOP	Δεν μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Δεν μπορείς να ανοίξεις την ιδιωτική αποθήκη σε δημόσιο χώρο.
CANNOT_SHOOT_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SHOOT_EMPTY_ARROW	Χρειάζομαι ένα Βέλος.
CANNOT_SHOOT_SELF_IN_SAFE	Δεν μπορώ να επιτεθώ στον αντίπαλο από εδώ.
CANNOT_SKILL_APPROACH	Δεν μπορώ να πλησιάσω περισσότερο.
CANNOT_SKILL_ATTACK	Δεν μπορώ να επιτεθώ σ' αυτό.
CANNOT_SKILL_BLUE	Όταν είναι ενεργοποιημένη η Ψυχή Πορφυρόλυκου, δεν μπορείς να χρησιμοποιήσεις την Ψυχή Λουλακόλυκου.
CANNOT_SKILL_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SKILL_EQUIP_FISHING_ROD	Δεν μπορείς να πιάσεις ψάρια αν δεν έχεις εξοπλίσει Καλάμι.
CANNOT_SKILL_HAVE_TO_RIDE	Χρειάζομαι πρώτα ένα άλογο για να μπορέσω να το χρησιμοποιήσω αυτό.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
CANNOT_SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητηρίου.
CANNOT_SKILL_NEED_TARGET	Ποιος είναι ο στόχος;
CANNOT_SKILL_NOT_ENOUGH_HP	Δεν έχω αρκετούς HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Δεν έχω αρκετούς SP!
CANNOT_SKILL_NOT_HORSE_SKILL	Δεν μπορώ να το χρησιμοποιήσω ενώ ιππεύω.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Δνε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με αυτό το όπλο.
CANNOT_SKILL_NOT_YET_LEARN	Δεν έχω μάθει αυτή την Ικανότητα.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Αυτό επηρεάζει μόνο μέλη της ομάδας.
CANNOT_SKILL_ONLY_FOR_CORPSE	Αυτό επηρεάζει μόνο νεκρούς.
CANNOT_SKILL_RED	Όταν είναι ενεργοποιημένη η Ψυχή Λουλακόλυκου, δεν μπορείς να χρησιμοποιήσεις την Ψυχή Πορφυρόλυκου.
CANNOT_SKILL_REMOVE_FISHING_ROD	Δεν μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με Καλάμι Ψαρέματος.
CANNOT_SKILL_SELF_IN_SAFE	Δε μπορώ να επιτεθώ από εδώ.
CANNOT_SKILL_USE_SELF	Δεν μπορώ να το χρησιμοποιήσω στον εαυτό μου.
CANNOT_SKILL_WAIT_COOLTIME	Δεν μπορώ να χρησιμοποιήσω αυτή την Ικανότητα ακόμη.
CANNOT_USE	Δεν μπορείς να το χρησιμοποιήσεις.
CANNOT_WHISPER_DEST_REFUSE	Ο %s έχει απενεργοποιήσει τους ψιθύρους.	SA
CANNOT_WHISPER_NOT_LOGON	Ο %s δεν είναι συνδεδεμένος.	SA
CANNOT_WHISPER_SELF_REFUSE	Δε μπορείς να ψιθυρίσεις αν έχεις απενεργοποιήσει τους ψιθύρους.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Πανοπλίες
CATEGORY_ARMOR_ARMOR_GLOVE	Γάντια
CATEGORY_ARMOR_ARMOR_HEAD	Κράνη
CATEGORY_ARMOR_ARMOR_SHIELD	Ασπίδες
CATEGORY_COSTUMES	Φορεσιές
CATEGORY_COSTUMES_COSTUME_BODY	Φορεσιές
CATEGORY_COSTUMES_COSTUME_HAIR	Κομμώσεις
CATEGORY_COSTUMES_COSTUME_WEAPON	Εμφανίσεις Όπλων
CATEGORY_COSTUMES_ETC	’λλα
CATEGORY_COSTUMES_SASH	Κορδέλες Ώμων
CATEGORY_DRAGON_STONE	Αλχημεία Δρακόλιθων
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Διαμάντι
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Γρανάτης
CATEGORY_DRAGON_STONE_DRAGON_JADE	Νεφρίτης
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Όνυχας
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ρουμπίνι
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Ζαφείρι
CATEGORY_DRAGON_STONE_ETC	’λλα
CATEGORY_EQUIPMENT_ARMOR	Εξοπλισμοί
CATEGORY_EQUIPMENT_JEWELRY	Κοσμήματα
CATEGORY_EQUIPMENT_WEAPON	Όπλα
CATEGORY_ETC	’λλα
CATEGORY_ETC_ETC	’λλα
CATEGORY_ETC_EVENT	Αντικείμενα event
CATEGORY_ETC_GIFTBOX	Σεντούκια | Κουτιά
CATEGORY_ETC_MATRIMORY	Γάμος
CATEGORY_ETC_PARTI	Βιβλία Τέχνης Πολέμου
CATEGORY_ETC_POLYMORPH	Βόλοι Πολυμορφίας
CATEGORY_ETC_RECIPE	Παρασκευή φίλτρου
CATEGORY_ETC_SEAL	Ψυχικό δέσιμο
CATEGORY_FISHING_PICK	Ψάρεμα | Εξόρυξη
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Αξίνες
CATEGORY_FISHING_PICK_ETC	’λλα
CATEGORY_FISHING_PICK_FISHING_POLE	Καλάμια Ψαρέματος
CATEGORY_FISHING_PICK_FOOD	Ψάρια
CATEGORY_FISHING_PICK_PICK_BOOK	Βιβλία Εξόρυξης
CATEGORY_FISHING_PICK_STONE	Μεταλλεύματα
CATEGORY_JEWELRY_ARMOR_EAR	Σκουλαρίκια
CATEGORY_JEWELRY_ARMOR_FOOTS	Παπούτσια
CATEGORY_JEWELRY_ARMOR_NECK	Περιδέραια
CATEGORY_JEWELRY_ARMOR_PENDANT	Φυλαχτό
CATEGORY_JEWELRY_ARMOR_WRIST	Βραχιόλια
CATEGORY_JEWELRY_ITEM_BELT	Ζώνες
CATEGORY_MOUNT_PET	Ζώα ιππασίας | Κατοικίδια
CATEGORY_MOUNT_PET_CHARGED_PET	Κατοικίδια
CATEGORY_MOUNT_PET_EGG	Αβγά κατοικιδίων
CATEGORY_MOUNT_PET_FREE_PET	Κατοικίδια με επίπεδα
CATEGORY_MOUNT_PET_MOUNT	Ζώα ιππασίας
CATEGORY_POTION	Φίλτρα
CATEGORY_POTION_ABILITY	Καταναλωτικά αγαθά
CATEGORY_POTION_ETC	’λλα
CATEGORY_POTION_HAIRDYE	Χρώματα μαλλιών
CATEGORY_SKILL	Ικανότητες
CATEGORY_SKILL_BOOK_OF_OBLIVION	Βιβλία της Λήθης
CATEGORY_SKILL_ETC	’λλα
CATEGORY_SKILL_HORSE_SKILL_BOOK	Βιβλίο Ικανοτήτων Αλόγου
CATEGORY_SKILL_PAHAE	Απόκρουση | Ενισχυτής
CATEGORY_SKILL_SKILL_BOOK	Βιβλία Ικανοτήτων
CATEGORY_TUNING	Βελτιώσεις
CATEGORY_TUNING_ETC	’λλα
CATEGORY_TUNING_RESOURCE	Υλικά
CATEGORY_TUNING_STONE	Λίθοι Πνεύματος
CATEGORY_UNIQUE	Ειδικά αντικείμενα
CATEGORY_UNIQUE_ABILITY	Καταναλωτικά είδη
CATEGORY_UNIQUE_ETC	’λλα
CATEGORY_WEAPON_WEAPON_ARROW	Βέλη
CATEGORY_WEAPON_WEAPON_BELL	Καμπάνες
CATEGORY_WEAPON_WEAPON_BOW	Τόξα
CATEGORY_WEAPON_WEAPON_CLAW	Νύχια
CATEGORY_WEAPON_WEAPON_DAGGER	Στιλέτα
CATEGORY_WEAPON_WEAPON_FAN	Βεντάλιες
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Ακόντια
CATEGORY_WEAPON_WEAPON_QUIVER	Φαρέτρες
CATEGORY_WEAPON_WEAPON_SWORD	Μονόχειρα όπλα
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Δίχειρα όπλα
CHANGE_ALREADY_REGISTER	[Προβολή] Αυτό το αντικείμενο είναι ήδη δηλωμένο.
CHANGE_LOOK_CHANGE_ITEM	Θέλεις να προβάλεις αυτό το αντικείμενο;
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Προβολή] Παρακαλούμε αφαίρεσε πρώτα το αντικείμενο στο οποίο θα γίνει η προβολή.
CHANGE_LOOK_COST	Τιμή προβολής: %s Yang
CHANGE_LOOK_DEL_ITEM	Το αντικείμενο που μάζεψες θα διαγραφεί.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Προβολή] Αυτό το αντικείμενο δεν μπορεί να προβληθεί.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Προβολή] Δεν μπορείς να προβάλεις αυτό το αντικείμενο, την ώρα που είναι φορεμένο.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Προβολή] Αυτό το αντικείμενο δεν μπορεί να προβληθεί.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Προβολή] Αυτό το αντικείμενο είναι δεμένο ψυχικά.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Προβολή] Παρακαλούμε δήλωσε το αντικείμενο που θέλεις να προβάλεις.
CHANGE_LOOK_INSERT_ITEM	[Προβολή] Πρέπει πρώτα να δηλώσεις το αντικείμενο.
CHANGE_LOOK_NEED_MONEY	Δεν έχεις αρκετά Yang ή αρκετά αντικείμενα.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Προβολή] Αυτή η ενέργεια είναι αδύνατη την ώρα που είναι ανοιχτό το παράθυρο «Προβολή».
CHANGE_LOOK_TITLE	Προβολή
CHANGE_LOOK_TITLE2	Μεταμόρφωση ζώου ιππασίας
CHANGE_PET_PLEASE_APPEND_FIRST	Το κατοικίδιο πρέπει πρώτα να επιλεχθεί.
CHANGE_TOOLTIP2_LINE1	Πρόσθεσε αριστερά το αντικείμενο-στόχο και δεξιά το υλικό.
CHANGE_TOOLTIP2_LINE2	Κάνε κλικ στο ν, για να χρησιμοποιήσεις Yang ή Μάρκα Μεταμόρφωσης και να αλλάξεις την εμφάνιση του ζώου ιππασίας σου.
CHANGE_TOOLTIP2_LINE3	Μια Μάρκα Μεταμόρφωσης αλλάζει την εμφάνιση του ζώου ιππασίας σου χωρίς να καταναλώσει Yang. (Η Μάρκα καταστρέφεται.)
CHANGE_TOOLTIP2_LINE4	Αν αλλάξει η εμφάνιση ενός ζώου ιππασίας με διάρκεια χρήσης, η αρχική διάρκεια χρήσης θα παραμείνει.
CHANGE_TOOLTIP2_LINE5	Σε περίπτωση που το ζώο ιππασίας-στόχος είναι μόνιμο και το ζώο ιππασίας υλικού έχει κάποια διάρκεια χρήσης, το ζώο ιππασίας διατηρεί την αρχική του εμφάνιση για τη διάρκεια του ζώου ιππασίας υλικού.
CHANGE_TOOLTIP_LINE1	Τοποθέτησε στα αριστερά το αντικείμενο, στο οποίο θα εφαρμοστεί η Προβολή.
CHANGE_TOOLTIP_LINE2	Βάλε το άλλο αντικείμενο στα δεξιά.
CHANGE_TOOLTIP_LINE3	Η εμφάνιση του αντικειμένου θα αλλάξει,
CHANGE_TOOLTIP_LINE4	αν επιβεβαιώσεις την Προβολή (V) και σου αφαιρεθούν Yang.
CHANGE_TOOLTIP_LINE5	Εάν χρησιμοποιήσεις αυτό το αντικείμενο,
CHANGE_TOOLTIP_LINE6	μπορείς να προβάλεις το αντικείμενό σου, χωρίς να χρησιμοποιήσεις Yang.
CHANGE_TOOLTIP_TITLE	Προβολή
CHANNEL	Κανάλι
CHANNELING_CANNOT_LOGOUT	Δε μπορείς να επιστρέψεις στη σελίδα σύνδεσης.
CHANNEL_EMPTY_SERVER	Κενός server
CHANNEL_NORMAL	Κανάλι %d
CHANNEL_NOTIFY_FULL	Το κανάλι είναι γεμάτο! Παρακαλούμε διάλεξε άλλο κανάλι.
CHANNEL_NOT_FIND_INFO	Δεν βρέθηκαν πληροφορίες για το κανάλι.
CHANNEL_PVP	Ελεύθερη μονομαχία
CHANNEL_SELECT_CHANNEL	Διάλεξε κανάλι
CHANNEL_SELECT_REGION	Διάλεξε περιοχή
CHANNEL_SELECT_SERVER	Επιλογή server
CHANNEL_STATUS_BUSY	Υψηλή επισκεψιμ.
CHANNEL_STATUS_FULL	Γεμάτο
CHANNEL_STATUS_OFFLINE	’γνωστη
CHANNEL_STATUS_RECOMMENDED	Συνιστάται
CHANNEL_STATUS_VACANT	Χαμηλή επισκεψιμ.
CHANNEL_TEST_SERVER	Δοκιμή server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Δημιουργία χαρακτήρα
CHARACTER_NAME	Όνομα
CHARACTER_SELECT_MODE	Επιλογή χαρακτήρα
CHARGE_BEAD_QUESTION	Απαιτούμενες Ανιμασφαίρες: %d Θέλεις να συνεχίσεις;
CHATTING_SETTING_ADD	Προσθήκη καρτέλας
CHATTING_SETTING_ADD_MAX	Δεν μπορείς να προσθέσεις άλλα.
CHATTING_SETTING_CHANGE_TITLE_NAME	Θέλεις να αποθηκεύσεις το όνομα γι' αυτήν τη συνομιλία;
CHATTING_SETTING_CHANGE_TITLE_NOT	Το όνομα της γενικής συνομιλίας δεν μπορεί να αλλάξει.
CHATTING_SETTING_CLEAR_QUESTION	Μηδενισμός;
CHATTING_SETTING_DEL	Αφαίρεση πεδίου
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Όρισε ένα μήνυμα για την αποκτημένη ΕΜΠ από το κυνήγι τεράτων ή τη χαμένη ΕΜΠ.
CHATTING_SETTING_QUESTION_DESC_2	2. Όρισε ένα μήνυμα για λεία που άφησες και κερδισμένα Yang.
CHATTING_SETTING_RETURN	Αποκατάσταση πεδίου
CHATTING_SETTING_SETTING	Ρυθμίσεις
CHAT_ALL	Όλα
CHAT_BLOCK	Μπλοκάρισμα
CHAT_DICE_INFO	Ρίψη
CHAT_GUILD	Συντεχνία
CHAT_INFORMATION	Πληροφορίες
CHAT_INSULT_STRING	Η πρόταση περιέχει μη επιτρεπτές λέξεις.
CHAT_LOG	Εμφάνιση παλιών μηνυμάτων [L]
CHAT_LOG_TITLE	Εμφάνιση αρχείου
CHAT_NORMAL	Κανονικό
CHAT_NOTICE	Σέρβερ
CHAT_PARTY	Ομάδα
CHAT_SEND_CHAT	Αποστολή chat
CHAT_SEND_MEMO	Αποστολή ψίθυρου [Shift+Enter]
CHAT_SHOUT	Κλήση
CHAT_SHOUT_LIMIT	Μπορείς να καλείς κάθε 15 δευτερόλεπτα.
CHAT_WHISPER	Ψίθυρος
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Δεν μπορείς να πετάξεις χρήματα.
CHEQUE_SYSTEM_PICK_WON	Απέκτησες %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Τιμή πώλησης]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Επίπεδο
CLEAR_TIME	Χρόνος
ClosePetChangeWndButton	Κλείσιμο
COMB_ACCE_IS_CONTINUE_PROCESS	Θέλεις να συνεχίσεις;
COMB_ACCE_WARNING_MESSAGE	Σε περίπτωση επιτυχίας ή μερικής επιτυχίας θα καταστραφεί το πρωτότυπο. Η μεταφορά μπορεί να αποτύχει. Σε περίπτωση αποτυχίας ή μερικής επιτυχίας θα μειωθεί η πιθανότητα απορρόφησης του παραλήπτη.
COMB_ACCE_WARNING_MESSAGE1	Σε περίπτωση επιτυχίας ή μερικής επιτυχίας θα καταστραφεί το πρωτότυπο.
COMB_ACCE_WARNING_MESSAGE2	Η μεταφορά μπορεί να αποτύχει.
COMB_ACCE_WARNING_MESSAGE3	Σε περίπτωση αποτυχίας ή μερικής επιτυχίας θα μειωθεί η πιθανότητα απορρόφησης του παραλήπτη.
COMB_ACCE_WILL_REMOVE_MATERIAL	Σε περίπτωση επιτυχίας ή μερικής επιτυχίας θα καταστραφεί το πρωτότυπο.
COMB_ALREADY_APPEND	Αυτό το αντικείμενο έχει ήδη χρησιμοποιηθεί.
COMB_CANT_APPEND_ITEM	Αυτό το αντικείμενο δεν μπορεί να χρησιμοποιηθεί.
COMB_CANT_APPEND_SEALED_ITEM	Δεν μπορείς να χρησιμοποιήσεις ένα ψυχικά δεμένο αντικείμενο.
COMB_CANT_BASE_ITEM	Η κορδέλα που έχει ήδη ένα μπόνους, δεν μπορεί να είναι ο παραλήπτης.
COMB_CANT_MATCH_DRAINRATE	Για μια μεταφορά μπόνους, η πιθανότητα απορρόφησης και των δυο αντικειμένων πρέπει να είναι ίδια.
COMB_CANT_MATCH_GRADE	Για μια μεταφορά μπόνους, ο βαθμός και των δυο αντικειμένων πρέπει να είναι ίδιος.
COMB_CANT_MATERIAL_ITEM	Το πρωτότυπο αντικείμενο πρέπει να έχει ένα μπόνους.
COMB_COST	Τιμή: %s
COMB_IS_CONTINUE_PROCESS	Θέλεις να συνεχίσεις;
COMB_NOTICE	Δεν μπορείς να ανοίξεις ιδιωτικό κατάστημα όσο προσπαθείς να ανταλλάξεις βιβλία.
COMB_NOTICE_NOT_OPEN	Δεν μπορείς να ανταλλάξεις βιβλία όσο έχεις ανοιχτό ιδιωτικό κατάστημα.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Θα χρειαστείς το πρωτότυπο, τον παραλήπτη και το αντικείμενο μεταφοράς, για να μεταφέρεις μπόνους.
COMB_NOT_FULL_BOOK	Όχι, έτσι δεν θα συμφωνήσουμε. Όπως σου έχω ξαναπεί, θα ανταλλάξω μόνο αν μου δώσεις 10 βιβλία.
COMB_NOT_ITEM_IN_INVENTORY	Δεν μπορείς να χρησιμοποιήσεις αντικείμενα που φοράς.
COMB_NOT_MEDIUM_ITEM	Αυτό το αντικείμενο δεν μπορεί να χρησιμοποιηθεί.
COMB_WILL_REMOVE_MATERIAL	Το πρωτότυπο θα καταστραφεί στη μεταφορά.
CREATE_ERROR_GM_NAME	Δεν επιτρέπεται η χρήση του όρου «GM» στο όνομα χαρακτήρα.
CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα.
CREATE_ERROR_LIMIT_LEVEL	Ο χαρακτήρας σου πρέπει να είναι τουλάχιστον επίπεδο 80.
CREATE_ERROR_TIME_LIMIT	Μπορείς να δημιουργείς μόνο έναν χαρακτήρα κάθε 30 δευτερόλεπτα.
