ACCE_ABSORB_COST	Kombinálás ára: %d
AURA_TOOLTIP_LEVEL	Szint %d (Alszint %d) (Abszorpciós mérték %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Új
AURA_TOOLTIP_NOW	Jelenlegi
AURA_TOOLTIP_RESOURCE	Fogyótárgyak
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Kiürít
AUTO_TOOLTIP_LINE1	Készségek: Válassz készségeket a harchoz és húzd bele azokat a foglalatokba. (Prémium)
AUTO_TOOLTIP_LINE2	Tipp: Minden egyes készség alatt megváltoztathatod az aktivációs idõközt (másodpercben).
AUTO_TOOLTIP_LINE3	Bájitalok: Válassz bájitalokat a harchoz és húzd bele azokat a foglalatokba. (Prémium)
AUTO_TOOLTIP_LINE4	Tipp: A TP és MP bájitalok aktiválódnak, amint a szint az egyes bájitalok alatt látható % érték alá csökken.
AUTO_TOOLTIP_LINE5	Megjegyzés: a készségek, bájitalok és újraéledés automatikus használata a Tárgypiacon aktiválható.
AUTO_TOOLTIP_TITLE	Auto-vadászat segítség
BATTLE_POINT	Harci pontok
BATTLE_ROYALE_ALIVE_COUNT	Túlélõk: %d
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_CANNOT_OPEN_MALL	Ezt nem nyithatod meg itt.
BATTLE_ROYALE_KILL_COUNT	Legyõzött ellenfelek: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Részvétel
BATTLE_ROYALE_MAINBUTTON_CANCEL	Mégse
BATTLE_ROYALE_MAINBUTTON_EXIT	Kilépés
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Indítás
BATTLE_ROYALE_NOTIFY_APPLICATED	Jelentkeztél a Battle Royalera. Már be is léphetsz, amint elég résztvevõ gyûlt össze.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	A Battle Royalera való jelentkezés lezárásra került.
BATTLE_ROYALE_NOTIFY_STARTABLE	Most beléphetsz a Battle Royalera. A részvételhez kattints az event gombra!
BATTLE_ROYALE_NOTIFY_WINNER	Te nyertél.
BATTLE_ROYALE_PERSONAL_RANK	Saját helyezés: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Szeretnéd használni a Végtelen kitartást?
BATTLE_ROYALE_WHO_KILLED	A játékos, aki megölt: %s
BATTLE_ROYALE_WINNER_1	Megnyerted a Battle Royalet!
BATTLE_ROYALE_WINNER_2	Hamarosan a faluba teleportálódsz.
BEAD	Anima-gömb
BEAD_TIME_REMAINING_TO_GET	Anima-gömb újratöltése: %d perc múlva.
BELT_RENEWAL_BANN_SIGN	Nem tudod megtenni.
BELT_RENEWAL_INVENTORY_FULL	Nincs elég hely a leltáradban.
BNW_COIN	Látók érméje
BUY_LIMIT_LEVEL	Vásárlási limit: %s
CANNOT_ATTACK_DEST_IN_SAFE	Túl messze van az ellenség.
CANNOT_ATTACK_SELF_IN_SAFE	Nem tudok támadni.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Nem tudsz semmi mást csinálni, amíg nyitva van a magán boltod.
CANNOT_EQUIP_IN_EXCHANGE	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_EQUIP_IN_SHOP	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nyilvános területen nem nyithatsz magán boltot.
CANNOT_SHOOT_DEST_IN_SAFE	Az ellenség túl messze van.
CANNOT_SHOOT_EMPTY_ARROW	Szükségem van egy nyílra.
CANNOT_SHOOT_SELF_IN_SAFE	Innen nem tudom megtámadni az ellenséget.
CANNOT_SKILL_APPROACH	Biztos vagyok benne, hogy nem tudok közelebb menni.
CANNOT_SKILL_ATTACK	Nem tudom megtámadni.
CANNOT_SKILL_BLUE	Nem használhatod az Indigófarkas-lelket, ha a Bíborfarkas-lélek aktív.
CANNOT_SKILL_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nem tudsz horgászni, ha nincs felszerelve horgászbot.
CANNOT_SKILL_HAVE_TO_RIDE	Szükségem van egy lóra, hogy fel tudjam használni.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nincs méregtartóm.
CANNOT_SKILL_NEED_TARGET	Ki a célpont?
CANNOT_SKILL_NOT_ENOUGH_HP	Nincs elég TP-m!
CANNOT_SKILL_NOT_ENOUGH_SP	Nincs elég MP-m!
CANNOT_SKILL_NOT_HORSE_SKILL	Nem tudom használni, amíg lovagolok.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ezt a készséget nem hasznosíthatom ezzel a fegyverrel.
CANNOT_SKILL_NOT_YET_LEARN	Nem tanultam ki ezt a készséget.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Csak csoporttagokra hat.
CANNOT_SKILL_ONLY_FOR_CORPSE	Csak halottakra hat.
CANNOT_SKILL_RED	Nem használhatod a Bíborfarkas-lelket, ha az Indigófarkas-lélek aktív.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ezt a készséget nem tudom horgászbottal használni.
CANNOT_SKILL_SELF_IN_SAFE	Innen nem tudok támadni.
CANNOT_SKILL_USE_SELF	Saját magamon nem használhatom.
CANNOT_SKILL_WAIT_COOLTIME	Ezt a készséget még nem tudom bevetni.
CANNOT_USE	Ezt nem tudod használni.
CANNOT_WHISPER_DEST_REFUSE	%s letiltotta a súgást.	SA
CANNOT_WHISPER_NOT_LOGON	%s nem online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nem tudsz senkinek súgni, ha a súgás teljesen le van tiltva.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Vértek
CATEGORY_ARMOR_ARMOR_GLOVE	Kesztyû
CATEGORY_ARMOR_ARMOR_HEAD	Sisakok
CATEGORY_ARMOR_ARMOR_SHIELD	Pajzsok
CATEGORY_COSTUMES	Öltözékek
CATEGORY_COSTUMES_COSTUME_BODY	Öltözékek
CATEGORY_COSTUMES_COSTUME_HAIR	Frizurák
CATEGORY_COSTUMES_COSTUME_WEAPON	Fegyver-kinézetek
CATEGORY_COSTUMES_ETC	Egyéb
CATEGORY_COSTUMES_SASH	Vállpántok
CATEGORY_DRAGON_STONE	Sárkánykõ-alkímia
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Gyémánt
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Gránát
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jáde
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafír
CATEGORY_DRAGON_STONE_ETC	Egyéb
CATEGORY_EQUIPMENT_ARMOR	Felszerelés
CATEGORY_EQUIPMENT_JEWELRY	Ékszer
CATEGORY_EQUIPMENT_WEAPON	Fegyverek
CATEGORY_ETC	Egyéb
CATEGORY_ETC_ETC	Egyéb
CATEGORY_ETC_EVENT	Eseménytárgyak
CATEGORY_ETC_GIFTBOX	Ládák | Dobozok
CATEGORY_ETC_MATRIMORY	Házasság
CATEGORY_ETC_PARTI	Harcmûvészeti könyvek
CATEGORY_ETC_POLYMORPH	Átváltoztató gömbök
CATEGORY_ETC_RECIPE	Bájital-készítés
CATEGORY_ETC_SEAL	Lélekhez kötés
CATEGORY_FISHING_PICK	Horgászat | Bányászat
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Csákányok
CATEGORY_FISHING_PICK_ETC	Egyéb
CATEGORY_FISHING_PICK_FISHING_POLE	Horgászbotok
CATEGORY_FISHING_PICK_FOOD	Hal
CATEGORY_FISHING_PICK_PICK_BOOK	Bányászati könyvek
CATEGORY_FISHING_PICK_STONE	Ércek
CATEGORY_JEWELRY_ARMOR_EAR	Fülbevalók
CATEGORY_JEWELRY_ARMOR_FOOTS	Cipõk
CATEGORY_JEWELRY_ARMOR_NECK	Nyakláncok
CATEGORY_JEWELRY_ARMOR_PENDANT	Talizmán
CATEGORY_JEWELRY_ARMOR_WRIST	Karkötõk
CATEGORY_JEWELRY_ITEM_BELT	Övek
CATEGORY_MOUNT_PET	Hátasok | Házikedvencek
CATEGORY_MOUNT_PET_CHARGED_PET	Házikedvencek
CATEGORY_MOUNT_PET_EGG	Házikedvenc tojások
CATEGORY_MOUNT_PET_FREE_PET	Nevelhetõ házikedvencek
CATEGORY_MOUNT_PET_MOUNT	Hátasok
CATEGORY_POTION	Italok
CATEGORY_POTION_ABILITY	Kellékek
CATEGORY_POTION_ETC	Egyéb
CATEGORY_POTION_HAIRDYE	Hajfestékek
CATEGORY_SKILL	Készségek
CATEGORY_SKILL_BOOK_OF_OBLIVION	Feledés könyvek
CATEGORY_SKILL_ETC	Egyéb
CATEGORY_SKILL_HORSE_SKILL_BOOK	Ló készségkönyv
CATEGORY_SKILL_PAHAE	Csökkentõ | Fokozó
CATEGORY_SKILL_SKILL_BOOK	Készségkönyvek
CATEGORY_TUNING	Fejlesztések
CATEGORY_TUNING_ETC	Egyéb
CATEGORY_TUNING_RESOURCE	Anyagok
CATEGORY_TUNING_STONE	Szellemkövek
CATEGORY_UNIQUE	Különleges tárgyak
CATEGORY_UNIQUE_ABILITY	Kellékek
CATEGORY_UNIQUE_ETC	Egyéb
CATEGORY_WEAPON_WEAPON_ARROW	Nyilak
CATEGORY_WEAPON_WEAPON_BELL	Harangok
CATEGORY_WEAPON_WEAPON_BOW	Íjak
CATEGORY_WEAPON_WEAPON_CLAW	Karmok
CATEGORY_WEAPON_WEAPON_DAGGER	Tõrök
CATEGORY_WEAPON_WEAPON_FAN	Legyezõk
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lándzsák
CATEGORY_WEAPON_WEAPON_QUIVER	Tegezek
CATEGORY_WEAPON_WEAPON_SWORD	Egykezes fegyverek
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Kétkezes fegyverek
CHANGE_ALREADY_REGISTER	[Átalakítás] Ez a tárgy már be lett helyezve.
CHANGE_LOOK_CHANGE_ITEM	Szeretnéd átalakítani ezt a tárgyat?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Átalakítás] Elõbb távolítsd el a tárgyat, amit át akarsz alakítani!
CHANGE_LOOK_COST	Az átalakítás ára: %s Yang
CHANGE_LOOK_DEL_ITEM	Az abszorbeált tárgy törlõdni fog.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Átalakítás] Ez a tárgy nem alakítható át.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Átalakítás] Felszerelt tárgyat nem tudsz átalakítani.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Átalakítás] Nem helyezheted be ezt a tárgyat.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Átalakítás] A tárgy lélekhez kötött.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Átalakítás] Helyezd be a tárgyat, amit át akarsz alakítani!
CHANGE_LOOK_INSERT_ITEM	[Átalakítás] Elõször be kell helyezned a tárgyat.
CHANGE_LOOK_NEED_MONEY	Nincs elegendõ Yangod vagy tárgyad.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Átalakítás] Ez a tevékenység nem lehetséges, amíg az Átalakítás ablak nyitva van.
CHANGE_LOOK_TITLE	Átalakítás
CHANGE_LOOK_TITLE2	Hátas átváltoztatás
CHANGE_PET_PLEASE_APPEND_FIRST	Elõbb ki kell választanod a házikedvenced.
CHANGE_TOOLTIP2_LINE1	A céltárgyat baloldalra, a felhasználandó anyagot pedig jobboldalra kell behelyezned.
CHANGE_TOOLTIP2_LINE2	A pipára kattintva Yang vagy egy Átváltoztató token segítségével megváltoztathatod hátasod kinézetét.
CHANGE_TOOLTIP2_LINE3	Ha Átváltoztató tokent használsz, Yang elköltése nélkül változtathatod meg a hátasod kinézetét (a token felhasználásra kerül).
CHANGE_TOOLTIP2_LINE4	Ha egy idõtartammal rendelkezõ hátast változtatsz át, a hátas idõtartama változatlan marad.
CHANGE_TOOLTIP2_LINE5	Ha a célhátas végleges, és az anyagként használt hátasnak van idõtartama, akkor a hátas kinézete az anyagként használt hátas idõtartamának idejére lesz megváltoztatva.
CHANGE_TOOLTIP_LINE1	Helyezd balra a tárgyat, amit át akarsz alakítani!
CHANGE_TOOLTIP_LINE2	Helyezd a másik tárgyat jobbra!
CHANGE_TOOLTIP_LINE3	A bal oldali tárgy kinézete meg fog változni,
CHANGE_TOOLTIP_LINE4	amint jóváhagyod az átalakítást (V) és kifizeted a Yangot.
CHANGE_TOOLTIP_LINE5	A tárgy használata lehetõvé teszi
CHANGE_TOOLTIP_LINE6	a tárgyad átalakítását Yang használata nélkül.
CHANGE_TOOLTIP_TITLE	Átalakítás
CHANNEL	Csatorna
CHANNELING_CANNOT_LOGOUT	Nem léphetsz vissza a bejelentkezõ képernyõre.
CHANNEL_EMPTY_SERVER	Nem szerver
CHANNEL_NORMAL	Csatorna %d
CHANNEL_NOTIFY_FULL	Ez a csatorna telítve van! Válassz másikat.
CHANNEL_NOT_FIND_INFO	Nem találhatók információk a csatornán.
CHANNEL_PVP	Szabad párbaj
CHANNEL_SELECT_CHANNEL	Válassz csatornát
CHANNEL_SELECT_REGION	Számlakiállítás helyének választása
CHANNEL_SELECT_SERVER	Szerver választás
CHANNEL_STATUS_BUSY	Sok játékos
CHANNEL_STATUS_FULL	Betelt
CHANNEL_STATUS_OFFLINE	Ismeretlen
CHANNEL_STATUS_RECOMMENDED	Ajánlott
CHANNEL_STATUS_VACANT	Kevés játékos
CHANNEL_TEST_SERVER	Szerver teszt
CHANNEL_TEST_SERVER_ADDR	Teszt %s:%d
CHARACTER_CREATE_MODE	Karakter létrehozás
CHARACTER_NAME	Név
CHARACTER_SELECT_MODE	Karakterválasztás
CHARGE_BEAD_QUESTION	Szükséges Anima-gömb: %d. Szeretnéd folytatni?
CHATTING_SETTING_ADD	Fül hozzáadása
CHATTING_SETTING_ADD_MAX	Nem tudsz többet hozzáadni.
CHATTING_SETTING_CHANGE_TITLE_NAME	Szeretnéd elmenteni a nevét ennek a chat ablaknak?
CHATTING_SETTING_CHANGE_TITLE_NOT	Az általános chat nevét nem tudod megváltoztatni.
CHATTING_SETTING_CLEAR_QUESTION	Visszaállítod?
CHATTING_SETTING_DEL	Mezõ törlése
CHATTING_SETTING_LANGUAGE_OFF	Ki
CHATTING_SETTING_LANGUAGE_ON	Be
CHATTING_SETTING_QUESTION_DESC_1	1. Üzenetet küld, ha EXP-t kapsz szörnyek megöléséért vagy ha EXP-t veszítesz.
CHATTING_SETTING_QUESTION_DESC_2	2. Üzenetet küld, ha zsákmány esik vagy ha Yangot kapsz.
CHATTING_SETTING_RETURN	Mezõ visszaállítása
CHATTING_SETTING_SETTING	Beállítások
CHAT_ALL	Minden
CHAT_BLOCK	Letilt
CHAT_DICE_INFO	Dobás
CHAT_GUILD	Céh
CHAT_INFORMATION	Infó
CHAT_INSULT_STRING	A mondat nem megengedett szavakat tartalmaz.
CHAT_LOG	Régi hírek mutatása [L]
CHAT_LOG_TITLE	Cset-log
CHAT_NORMAL	Normális
CHAT_NOTICE	Szerver
CHAT_PARTY	Csoport
CHAT_SEND_CHAT	Cset küldés
CHAT_SEND_MEMO	Súgás küldés [Shift+Enter]
CHAT_SHOUT	Hívás
CHAT_SHOUT_LIMIT	Csak 15 másodpercenként hívhatsz
CHAT_WHISPER	Súgni
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nem tudsz eldobni pénzt.
CHEQUE_SYSTEM_PICK_WON	%d Wont kaptál.
CHEQUE_SYSTEM_SELL_PRICE	[Eladási ár]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Szint
CLEAR_TIME	Idõ
ClosePetChangeWndButton	Bezár
COMB_ACCE_IS_CONTINUE_PROCESS	Biztosan folytatod?
COMB_ACCE_WARNING_MESSAGE	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén. Az átvitel sikertelen is lehet. A cél tárgy abszorpciós mértéke csökkenni fog részleges siker vagy sikertelenség esetén.
COMB_ACCE_WARNING_MESSAGE1	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén.
COMB_ACCE_WARNING_MESSAGE2	Az átvitel sikertelen is lehet.
COMB_ACCE_WARNING_MESSAGE3	A cél tárgy abszorpciós mértéke csökkenni fog részleges siker vagy sikertelenség esetén.
COMB_ACCE_WILL_REMOVE_MATERIAL	A kiindulási tárgy meg fog semmisülni teljes vagy részleges siker esetén.
COMB_ALREADY_APPEND	Ez a tárgy már ki lett választva.
COMB_CANT_APPEND_ITEM	Ez a tárgy nem használható.
COMB_CANT_APPEND_SEALED_ITEM	Nem használhatsz lélekhez kötött tárgyakat.
COMB_CANT_BASE_ITEM	Nem használható célként egy olyan pánt, aminek már van bónusza.
COMB_CANT_MATCH_DRAINRATE	Mindkét tárgy abszorpciós mértékének meg kell egyeznie a bónusz átviteléhez.
COMB_CANT_MATCH_GRADE	Mindkét tárgy minõségének meg kell egyeznie a bónusz átviteléhez.
COMB_CANT_MATERIAL_ITEM	A kiindulási tárgynak bónusszal kell rendelkeznie.
COMB_COST	Ár: %s
COMB_IS_CONTINUE_PROCESS	Szeretnéd folytatni?
COMB_NOTICE	Nem nyithatsz magánboltot, amíg könyvekkel üzletelsz.
COMB_NOTICE_NOT_OPEN	Nem üzletelhetsz könyvekkel, amíg magánboltod van nyitva.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Szükséged van egy kiindulási- és egy cél tárgyra, plusz az átvivõ tárgyra a bónuszok átviteléhez.
COMB_NOT_FULL_BOOK	Nem, ez az üzlet nem így mûködik. Megmondtam már, csak akkor üzletelek veled, ha 10 könyvet ajánlasz érte cserébe.
COMB_NOT_ITEM_IN_INVENTORY	Nem használhatsz felszerelt tárgyakat.
COMB_NOT_MEDIUM_ITEM	Ez a tárgy nem használható.
COMB_WILL_REMOVE_MATERIAL	A kiindulási tárgy meg fog semmisülni siker esetén.
CREATE_ERROR_GM_NAME	A karakter nevében nem használhatsz 'GM'-et.
CREATE_ERROR_INSULT_NAME	Ez a név nem megengedett.
CREATE_ERROR_LIMIT_LEVEL	Karakterednek legalább 80-as szintûnek kell lennie.
CREATE_ERROR_TIME_LIMIT	Csak egy karaktert tudsz létrehozni 30 másodpercenként.
CREATE_ERROR_WRONG_STRING	Ez a karakternév nem megengedett.
CREATE_EXIST_SAME_NAME	Egy másik karakter viseli már ezt a nevet.
CREATE_FAILURE	Nem hozhatod létre a karaktert.
CREATE_FULL	Nem hozhatsz létre több karaktert.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Add meg a nevet.
CREATE_PLUS_STAT	Még vannak szabad státusz pontok.
CUBE_CATEGORY_ACCESSORY	Ékszer
CUBE_CATEGORY_ARMOR	Vért
CUBE_CATEGORY_ARMOR_GLOVE	Kesztyû
CUBE_CATEGORY_BELT	Övek
CUBE_CATEGORY_ETC	Egyéb
CUBE_CATEGORY_EVENT	Rendezvény
CUBE_CATEGORY_JOB	Osztály
CUBE_CATEGORY_PET	Házikedvenc
CUBE_CATEGORY_SETADD_ARMOR	Páncél szett készítése
CUBE_CATEGORY_SETADD_HELMET	Sisak szett készítése
CUBE_CATEGORY_SETADD_WEAPON	Fegyver szett készítése
CUBE_CATEGORY_WEAPON	Fegyver
CUBE_CATEGOR_SKILL_BOOK	Készségkönyv
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	A felhasznált tárgyak közül legalább egy nagyon értékes (több, mint %d bónusza van).
CUBE_MAKE_CONFIRM_QUESTION_2	Biztosan folytatni akarod?
CUBE_NOT_ENOUGH_GEM	Nincs nálad elég Gaya.
CUBE_NOT_ENOUGH_GOLD	Nincs elegendõ Yang az elkészítéséhez.
CUBE_NOT_ENOUGH_MATERIAL	Nincs elég anyagod az elkészítéshez.
CUBE_PLEASE_SELECT	Nem választottál ki tárgyat.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Hátralévõ idõ: {0} - {1} óra
CZ_REWARD_QUESTION_COMPLETE	Szeretnéd beváltani ezt a mezõt?
CZ_REWARD_TOOLTIP_10GAN	Zodiákus jelvény
CZ_REWARD_TOOLTIP_10GAN_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_12ZI	Õrzõ jelvény
CZ_REWARD_TOOLTIP_12ZI_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_ALL_BOX	Asztrális kincs
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kattints ide, hogy begyûjtsd az Asztrális kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kattints ide, hogy begyûjtsd az Aventurin kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kattints ide, hogy begyûjtsd az Aureolin kincset jutalomként.
CZ_REWARD_TOOLTIP_COMPLETABLE	Beváltás
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin kincs
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Beváltott Aventurin kincsek: %d
CZ_REWARD_TOOLTIP_WEEKLY	Nap
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Péntek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Hétfõ
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Szombat
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Szombat/Vasárnap
CZ_REWARD_TOOLTIP_WEEKLY_THU	Csütörtök
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Kedd
CZ_REWARD_TOOLTIP_WEEKLY_WED	Szerda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin kincs
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Beváltott Aureolin kincsek: %d
DAY	n
DETAILS_0	Metin elleni erõ
DETAILS_1	Félemberek ell. erõ
DETAILS_2	Félemberek ell. véd.
DETAILS_3	Orkok elleni erõ
DETAILS_4	Élõholtak elleni erõ
DETAILS_5	Szörnyek elleni erõ
DETAILS_6	Zod. szörnyek e. erõ
DETAILS_7	Állatok elleni erõ
DETAILS_8	Ezoterikusok el. erõ
DETAILS_9	Ördögök elleni erõ
DETAILS_10	Siv. szörnyek e. erõ
DETAILS_11	Rovarok elleni erõ
DETAILS_12	Támadóérték
DETAILS_13	Védelmi érték
DETAILS_14	Átlagos kár
DETAILS_15	Átlagos kár ell.
DETAILS_16	Készség kár
DETAILS_17	Készség kár ellenállás
DETAILS_18	Mág./közelharci tám.
DETAILS_19	Mágikus támadás
DETAILS_20	Krit. találat esélye
DETAILS_21	Átható találat
DETAILS_22	Krit. találat ell.
DETAILS_23	Átható találat ell.
DETAILS_24	Villám ellenállás
DETAILS_25	Jég ellenállás
DETAILS_26	Sötétség ellenállás
DETAILS_27	Tûz ellenállás
DETAILS_28	Szél ellenállás
DETAILS_29	Föld ellenállás
DETAILS_30	Villám ereje
DETAILS_31	Jég ereje
DETAILS_32	Sötétség ereje
