# 미션이름 1: 토벌(하) 2: 토별(상) 3: 파괴 4: 탐험																			
# 생성 번호당 가능 지역																			
# 1 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 																			
# 2 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전																			
# 3 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리																			
# 4 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원																			
# 5 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 6 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 7 1: 승룡곡 2: 영비사막 3: 거미던전 4: 밀교 5: 사귀타워 6: 천의동굴 7: 아귀동굴 8:백룡지성 9:적룡지성 10: 녹림지 11: 동광평야 12:신비던전 13: 스네이크밸리 14: 뱀사원 15: 백룡동굴																			
# 최대 생성번호 갯수 : 7																			
# 최대 생성번호 갯수, 가능 지역 수정사항 생길시 프로그래머에게 이야기해주세요																			
#생성번호	지역	미션이름	용병레벨	필요활동력	필요활동력추가참여용병배율	성공확률	성공확률추가참여용병배율	PC정복자경험치보상	yang보상	보상아이템VNUM1	보상아이템COUNT1	보상아이템VNUM2	보상아이템COUNT2	보상아이템VNUM3	보상아이템COUNT3	보상아이템VNUM4	보상아이템COUNT4	보상아이템VNUM5	보상아이템COUNT5
1	7	2	1	100	3	46	1	1350	45046	83106	1	83118	1	83036	1	0	0	0	0
1	7	3	1	100	3	46	1	1350	84462	83106	1	83124	1	50529	1	0	0	0	0
1	7	4	1	100	3	46	1	1350	50677	83106	1	83121	1	83065	1	83066	1	0	0
1	8	1	1	100	3	46	1	1440	80408	83107	1	83115	1	39067	1	0	0	0	0
1	8	2	1	100	3	46	1	1440	45947	83107	1	83118	1	83036	1	0	0	0	0
1	8	3	1	100	3	46	1	1440	86151	83107	1	83124	1	50529	1	0	0	0	0
1	8	4	1	100	3	46	1	1440	51691	83107	1	83121	1	83065	1	83066	1	0	0
1	9	1	1	100	3	46	1	1550	82016	83108	1	83115	1	39067	1	0	0	0	0
1	9	2	1	100	3	46	1	1550	46866	83108	1	83118	1	83036	1	0	0	0	0
1	9	3	1	100	3	46	1	1550	87874	83108	1	83124	1	50529	1	0	0	0	0
1	9	4	1	100	3	46	1	1550	52725	83108	1	83121	1	83065	1	83066	1	0	0
1	10	1	1	100	3	46	1	1660	83656	83109	1	83115	1	39067	1	0	0	0	0
1	10	2	1	100	3	46	1	1660	47804	83109	1	83118	1	83036	1	0	0	0	0
1	10	3	1	100	3	46	1	1660	89632	83109	1	83124	1	50529	1	0	0	0	0
1	10	4	1	100	3	46	1	1660	53779	83109	1	83121	1	83065	1	83066	1	0	0
1	11	1	1	100	3	46	1	1770	85330	83110	1	83115	1	39067	1	0	0	0	0
1	11	2	1	100	3	46	1	1770	48760	83110	1	83118	1	83036	1	0	0	0	0
1	11	3	1	100	3	46	1	1770	91425	83110	1	83124	1	50529	1	0	0	0	0
1	11	4	1	100	3	46	1	1770	54855	83110	1	83121	1	83065	1	83066	1	0	0
2	1	1	2	150	6	42	1	9200	75000	83100	1	83115	1	39067	2	0	0	0	0
2	1	2	2	150	6	42	1	9200	45000	83100	1	83118	1	83036	2	0	0	0	0
2	1	3	2	150	6	42	1	9200	80000	83100	1	83124	1	50529	2	0	0	0	0
2	1	4	2	150	6	42	1	9200	50000	83100	1	83121	1	83065	2	83066	2	0	0
2	2	1	2	150	6	42	1	10070	76500	83101	1	83115	1	39067	2	0	0	0	0
2	2	2	2	150	6	42	1	10070	45900	83101	1	83118	1	83036	2	0	0	0	0
2	2	3	2	150	6	42	1	10070	81600	83101	1	83124	1	50529	2	0	0	0	0
2	2	4	2	150	6	42	1	10070	51000	83101	1	83121	1	83065	2	83066	2	0	0
2	3	1	2	150	6	42	1	12090	78030	83102	1	83115	1	39067	2	0	0	0	0
2	3	2	2	150	6	42	1	12090	46818	83102	1	83118	1	83036	2	0	0	0	0
2	3	3	2	150	6	42	1	12090	83232	83102	1	83124	1	50529	2	0	0	0	0
2	3	4	2	150	6	42	1	12090	52020	83102	1	83121	1	83065	2	83066	2	0	0
2	4	1	2	150	6	42	1	13250	79591	83103	1	83115	1	39067	2	0	0	0	0
2	4	2	2	150	6	42	1	13250	47754	83103	1	83118	1	83036	2	0	0	0	0
2	4	3	2	150	6	42	1	13250	84897	83103	1	83124	1	50529	2	0	0	0	0
2	4	4	2	150	6	42	1	13250	53060	83103	1	83121	1	83065	2	83066	2	0	0
2	5	1	2	150	6	42	1	14520	81182	83104	1	83115	1	39067	2	0	0	0	0
2	5	2	2	150	6	42	1	14520	48709	83104	1	83118	1	83036	2	0	0	0	0
2	5	3	2	150	6	42	1	14520	86595	83104	1	83124	1	50529	2	0	0	0	0
2	5	4	2	150	6	42	1	14520	54122	83104	1	83121	1	83065	2	83066	2	0	0
2	6	1	2	150	6	42	1	15900	82806	83105	1	83115	1	39067	2	0	0	0	0
2	6	2	2	150	6	42	1	15900	49684	83105	1	83118	1	83036	2	0	0	0	0
2	6	3	2	150	6	42	1	15900	88326	83105	1	83124	1	50529	2	0	0	0	0
2	6	4	2	150	6	42	1	15900	55204	83105	1	83121	1	83065	2	83066	2	0	0
2	7	1	2	150	6	42	1	17420	84462	83106	1	83115	1	39067	2	0	0	0	0
2	7	2	2	150	6	42	1	17420	50677	83106	1	83118	1	83036	2	0	0	0	0
2	7	3	2	150	6	42	1	17420	90093	83106	1	83124	1	50529	2	0	0	0	0
2	7	4	2	150	6	42	1	17420	56308	83106	1	83121	1	83065	2	83066	2	0	0
2	8	1	2	150	6	42	1	19000	86151	83107	1	83115	1	39067	2	0	0	0	0
2	8	2	2	150	6	42	1	19000	51691	83107	1	83118	1	83036	2	0	0	0	0
2	8	3	2	150	6	42	1	19000	91895	83107	1	83124	1	50529	2	0	0	0	0
2	8	4	2	150	6	42	1	19000	57434	83107	1	83121	1	83065	2	83066	2	0	0
2	9	1	2	150	6	42	1	20900	87874	83108	1	83115	1	39067	2	0	0	0	0
2	9	2	2	150	6	42	1	20900	52725	83108	1	83118	1	83036	2	0	0	0	0
2	9	3	2	150	6	42	1	20900	93733	83108	1	83124	1	50529	2	0	0	0	0
2	9	4	2	150	6	42	1	20900	58583	83108	1	83121	1	83065	2	83066	2	0	0
2	10	1	2	150	6	42	1	22900	89632	83109	1	83115	1	39067	2	0	0	0	0
2	10	2	2	150	6	42	1	22900	53779	83109	1	83118	1	83036	2	0	0	0	0
2	10	3	2	150	6	42	1	22900	95607	83109	1	83124	1	50529	2	0	0	0	0
2	10	4	2	150	6	42	1	22900	59755	83109	1	83121	1	83065	2	83066	2	0	0
2	11	1	2	150	6	42	1	25100	91425	83110	1	83115	1	39067	2	0	0	0	0
2	11	2	2	150	6	42	1	25100	54855	83110	1	83118	1	83036	2	0	0	0	0
2	11	3	2	150	6	42	1	25100	97520	83110	1	83124	1	50529	2	0	0	0	0
2	11	4	2	150	6	42	1	25100	60950	83110	1	83121	1	83065	2	83066	2	0	0
2	12	1	2	150	6	42	1	27500	93253	83111	1	83115	1	39067	2	0	0	0	0
2	12	2	2	150	6	42	1	27500	55952	83111	1	83118	1	83036	2	0	0	0	0
2	12	3	2	150	6	42	1	27500	99470	83111	1	83124	1	50529	2	0	0	0	0
2	12	4	2	150	6	42	1	27500	62169	83111	1	83121	1	83065	2	83066	2	0	0
3	1	1	3	175	9	32	1	26000	80000	83100	1	83115	1	39068	1	0	0	0	0
3	1	2	3	175	9	32	1	26000	50000	83100	1	83118	1	83036	3	0	0	0	0
3	1	3	3	175	9	32	1	26000	85000	83100	1	83124	1	50529	3	0	0	0	0
3	1	4	3	175	9	32	1	26000	55000	83100	1	83121	1	83065	3	83066	3	0	0
3	2	1	3	175	9	32	1	28780	81600	83101	1	83115	1	39068	1	0	0	0	0
3	2	2	3	175	9	32	1	28780	51000	83101	1	83118	1	83036	3	0	0	0	0
3	2	3	3	175	9	32	1	28780	86700	83101	1	83124	1	50529	3	0	0	0	0
3	2	4	3	175	9	32	1	28780	56100	83101	1	83121	1	83065	3	83066	3	0	0
3	3	1	3	175	9	32	1	31860	83232	83102	1	83115	1	39068	1	0	0	0	0
3	3	2	3	175	9	32	1	31860	52020	83102	1	83118	1	83036	3	0	0	0	0
3	3	3	3	175	9	32	1	31860	88434	83102	1	83124	1	50529	3	0	0	0	0
3	3	4	3	175	9	32	1	31860	57222	83102	1	83121	1	83065	3	83066	3	0	0
3	4	1	3	175	9	32	1	35270	84897	83103	1	83115	1	39068	1	0	0	0	0
3	4	2	3	175	9	32	1	35270	53060	83103	1	83118	1	83036	3	0	0	0	0
3	4	3	3	175	9	32	1	35270	90203	83103	1	83124	1	50529	3	0	0	0	0
3	4	4	3	175	9	32	1	35270	58366	83103	1	83121	1	83065	3	83066	3	0	0
3	5	1	3	175	9	32	1	39040	86595	83104	1	83115	1	39068	1	0	0	0	0
3	5	2	3	175	9	32	1	39040	54122	83104	1	83118	1	83036	3	0	0	0	0
3	5	3	3	175	9	32	1	39040	92007	83104	1	83124	1	50529	3	0	0	0	0
3	5	4	3	175	9	32	1	39040	59534	83104	1	83121	1	83065	3	83066	3	0	0
3	6	1	3	175	9	32	1	43220	88326	83105	1	83115	1	39068	1	0	0	0	0
3	6	2	3	175	9	32	1	43220	55204	83105	1	83118	1	83036	3	0	0	0	0
3	6	3	3	175	9	32	1	43220	93847	83105	1	83124	1	50529	3	0	0	0	0
3	6	4	3	175	9	32	1	43220	60724	83105	1	83121	1	83065	3	83066	3	0	0
3	7	1	3	175	9	32	1	47840	90093	83106	1	83115	1	39068	1	0	0	0	0
3	7	2	3	175	9	32	1	47840	56308	83106	1	83118	1	83036	3	0	0	0	0
3	7	3	3	175	9	32	1	47840	95724	83106	1	83124	1	50529	3	0	0	0	0
3	7	4	3	175	9	32	1	47840	61939	83106	1	83121	1	83065	3	83066	3	0	0
3	8	1	3	175	9	32	1	52960	91895	83107	1	83115	1	39068	1	0	0	0	0
3	8	2	3	175	9	32	1	52960	57434	83107	1	83118	1	83036	3	0	0	0	0
3	8	3	3	175	9	32	1	52960	97638	83107	1	83124	1	50529	3	0	0	0	0
3	8	4	3	175	9	32	1	52960	63178	83107	1	83121	1	83065	3	83066	3	0	0
3	9	1	3	175	9	32	1	58630	93733	83108	1	83115	1	39068	1	0	0	0	0
3	9	2	3	175	9	32	1	58630	58583	83108	1	83118	1	83036	3	0	0	0	0
3	9	3	3	175	9	32	1	58630	99591	83108	1	83124	1	50529	3	0	0	0	0
3	9	4	3	175	9	32	1	58630	64441	83108	1	83121	1	83065	3	83066	3	0	0
3	10	1	3	175	9	32	1	64910	95607	83109	1	83115	1	39068	1	0	0	0	0
3	10	2	3	175	9	32	1	64910	59755	83109	1	83118	1	83036	3	0	0	0	0
3	10	3	3	175	9	32	1	64910	101583	83109	1	83124	1	50529	3	0	0	0	0
3	10	4	3	175	9	32	1	64910	65730	83109	1	83121	1	83065	3	83066	3	0	0
3	11	1	3	175	9	32	1	71850	97520	83110	1	83115	1	39068	1	0	0	0	0
3	11	2	3	175	9	32	1	71850	60950	83110	1	83118	1	83036	3	0	0	0	0
3	11	3	3	175	9	32	1	71850	103615	83110	1	83124	1	50529	3	0	0	0	0
3	11	4	3	175	9	32	1	71850	67045	83110	1	83121	1	83065	3	83066	3	0	0
3	12	1	3	175	9	32	1	79540	99470	83111	1	83115	1	39068	1	0	0	0	0
3	12	2	3	175	9	32	1	79540	62169	83111	1	83118	1	83036	3	0	0	0	0
3	12	3	3	175	9	32	1	79540	105687	83111	1	83124	1	50529	3	0	0	0	0
3	12	4	3	175	9	32	1	79540	68386	83111	1	83121	1	83065	3	83066	3	0	0
3	13	1	3	175	9	32	1	88050	101459	83112	1	83115	1	39068	1	0	0	0	0
3	13	2	3	175	9	32	1	88050	63412	83112	1	83118	1	83036	3	0	0	0	0
3	13	3	3	175	9	32	1	88050	107801	83112	1	83124	1	50529	3	0	0	0	0
3	13	4	3	175	9	32	1	88050	69753	83112	1	83121	1	83065	3	83066	3	0	0
4	1	1	5	200	12	28	1	55710	95000	83100	2	83116	1	39068	2	0	0	0	0
4	1	2	5	200	12	28	1	55710	70000	83100	2	83119	1	83037	1	0	0	0	0
4	1	3	5	200	12	28	1	55710	105000	83100	2	83125	1	50529	4	0	0	0	0
4	1	4	5	200	12	28	1	55710	75000	83100	2	83122	1	83032	1	50043	1	0	0
4	2	1	5	200	12	28	1	62070	97850	83101	2	83116	1	39068	2	0	0	0	0
4	2	2	5	200	12	28	1	62070	72100	83101	2	83119	1	83037	1	0	0	0	0
4	2	3	5	200	12	28	1	62070	108150	83101	2	83125	1	50529	4	0	0	0	0
4	2	4	5	200	12	28	1	62070	77250	83101	2	83122	1	83032	1	50043	1	0	0
4	3	1	5	200	12	28	1	69170	100786	83102	2	83116	1	39068	2	0	0	0	0
4	3	2	5	200	12	28	1	69170	74263	83102	2	83119	1	83037	1	0	0	0	0
4	3	3	5	200	12	28	1	69170	111395	83102	2	83125	1	50529	4	0	0	0	0
4	3	4	5	200	12	28	1	69170	79568	83102	2	83122	1	83032	1	50043	1	0	0
4	4	1	5	200	12	28	1	77070	103809	83103	2	83116	1	39068	2	0	0	0	0
4	4	2	5	200	12	28	1	77070	76491	83103	2	83119	1	83037	1	0	0	0	0
4	4	3	5	200	12	28	1	77070	114736	83103	2	83125	1	50529	4	0	0	0	0
4	4	4	5	200	12	28	1	77070	81955	83103	2	83122	1	83032	1	50043	1	0	0
4	5	1	5	200	12	28	1	85880	106923	83104	2	83116	1	39068	2	0	0	0	0
4	5	2	5	200	12	28	1	85880	78786	83104	2	83119	1	83037	1	0	0	0	0
4	5	3	5	200	12	28	1	85880	118178	83104	2	83125	1	50529	4	0	0	0	0
4	5	4	5	200	12	28	1	85880	84413	83104	2	83122	1	83032	1	50043	1	0	0
4	6	1	5	200	12	28	1	95690	110131	83105	2	83116	1	39068	2	0	0	0	0
4	6	2	5	200	12	28	1	95690	81149	83105	2	83119	1	83037	1	0	0	0	0
4	6	3	5	200	12	28	1	95690	121724	83105	2	83125	1	50529	4	0	0	0	0
4	6	4	5	200	12	28	1	95690	86946	83105	2	83122	1	83032	1	50043	1	0	0
4	7	1	5	200	12	28	1	106630	113435	83106	2	83116	1	39068	2	0	0	0	0
4	7	2	5	200	12	28	1	106630	83584	83106	2	83119	1	83037	1	0	0	0	0
4	7	3	5	200	12	28	1	106630	125375	83106	2	83125	1	50529	4	0	0	0	0
4	7	4	5	200	12	28	1	106630	89554	83106	2	83122	1	83032	1	50043	1	0	0
4	8	1	5	200	12	28	1	118810	116838	83107	2	83116	1	39068	2	0	0	0	0
4	8	2	5	200	12	28	1	118810	86091	83107	2	83119	1	83037	1	0	0	0	0
4	8	3	5	200	12	28	1	118810	129137	83107	2	83125	1	50529	4	0	0	0	0
4	8	4	5	200	12	28	1	118810	92241	83107	2	83122	1	83032	1	50043	1	0	0
4	9	1	5	200	12	28	1	132390	120343	83108	2	83116	1	39068	2	0	0	0	0
4	9	2	5	200	12	28	1	132390	88674	83108	2	83119	1	83037	1	0	0	0	0
4	9	3	5	200	12	28	1	132390	133011	83108	2	83125	1	50529	4	0	0	0	0
4	9	4	5	200	12	28	1	132390	95008	83108	2	83122	1	83032	1	50043	1	0	0
4	10	1	5	200	12	28	1	147520	123953	83109	2	83116	1	39068	2	0	0	0	0
4	10	2	5	200	12	28	1	147520	91334	83109	2	83119	1	83037	1	0	0	0	0
4	10	3	5	200	12	28	1	147520	137001	83109	2	83125	1	50529	4	0	0	0	0
4	10	4	5	200	12	28	1	147520	97858	83109	2	83122	1	83032	1	50043	1	0	0
4	11	1	5	200	12	28	1	164380	127672	83110	2	83116	1	39068	2	0	0	0	0
4	11	2	5	200	12	28	1	164380	94074	83110	2	83119	1	83037	1	0	0	0	0
4	11	3	5	200	12	28	1	164380	141111	83110	2	83125	1	50529	4	0	0	0	0
4	11	4	5	200	12	28	1	164380	100794	83110	2	83122	1	83032	1	50043	1	0	0
4	12	1	5	200	12	28	1	183160	131502	83111	2	83116	1	39068	2	0	0	0	0
4	12	2	5	200	12	28	1	183160	96896	83111	2	83119	1	83037	1	0	0	0	0
4	12	3	5	200	12	28	1	183160	145345	83111	2	83125	1	50529	4	0	0	0	0
4	12	4	5	200	12	28	1	183160	103818	83111	2	83122	1	83032	1	50043	1	0	0
4	13	1	5	200	12	28	1	204090	135447	83112	2	83116	1	39068	2	0	0	0	0
4	13	2	5	200	12	28	1	204090	99803	83112	2	83119	1	83037	1	0	0	0	0
4	13	3	5	200	12	28	1	204090	149705	83112	2	83125	1	50529	4	0	0	0	0
4	13	4	5	200	12	28	1	204090	106932	83112	2	83122	1	83032	1	50043	1	0	0
4	14	1	5	200	12	28	1	235040	139511	83113	2	83116	1	39068	2	0	0	0	0
4	14	2	5	200	12	28	1	235040	102797	83113	2	83119	1	83037	1	0	0	0	0
4	14	3	5	200	12	28	1	235040	154196	83113	2	83125	1	50529	4	0	0	0	0
4	14	4	5	200	12	28	1	235040	110140	83113	2	83122	1	83032	1	50043	1	0	0
5	1	1	10	225	15	20	1	104270	135000	83100	2	83116	1	39068	3	0	0	0	0
5	1	2	10	225	15	20	1	104270	110000	83100	2	83119	1	83037	2	0	0	0	0
5	1	3	10	225	15	20	1	104270	145000	83100	2	83125	1	50529	5	0	0	0	0
5	1	4	10	225	15	20	1	104270	115000	83100	2	83122	1	83032	1	50043	1	0	0
5	2	1	10	225	15	20	1	116910	139050	83101	2	83116	1	39068	3	0	0	0	0
5	2	2	10	225	15	20	1	116910	113300	83101	2	83119	1	83037	2	0	0	0	0
5	2	3	10	225	15	20	1	116910	149350	83101	2	83125	1	50529	5	0	0	0	0
5	2	4	10	225	15	20	1	116910	118450	83101	2	83122	1	83032	1	50043	1	0	0
5	3	1	10	225	15	20	1	131080	143222	83102	2	83116	1	39068	3	0	0	0	0
5	3	2	10	225	15	20	1	131080	116699	83102	2	83119	1	83037	2	0	0	0	0
5	3	3	10	225	15	20	1	131080	153831	83102	2	83125	1	50529	5	0	0	0	0
5	3	4	10	225	15	20	1	131080	122004	83102	2	83122	1	83032	1	50043	1	0	0
5	4	1	10	225	15	20	1	146960	147518	83103	2	83116	1	39068	3	0	0	0	0
5	4	2	10	225	15	20	1	146960	120200	83103	2	83119	1	83037	2	0	0	0	0
5	4	3	10	225	15	20	1	146960	158445	83103	2	83125	1	50529	5	0	0	0	0
5	4	4	10	225	15	20	1	146960	125664	83103	2	83122	1	83032	1	50043	1	0	0
5	5	1	10	225	15	20	1	164780	151944	83104	2	83116	1	39068	3	0	0	0	0
5	5	2	10	225	15	20	1	164780	123806	83104	2	83119	1	83037	2	0	0	0	0
5	5	3	10	225	15	20	1	164780	163199	83104	2	83125	1	50529	5	0	0	0	0
5	5	4	10	225	15	20	1	164780	129434	83104	2	83122	1	83032	1	50043	1	0	0
5	6	1	10	225	15	20	1	184750	156502	83105	2	83116	1	39068	3	0	0	0	0
5	6	2	10	225	15	20	1	184750	127520	83105	2	83119	1	83037	2	0	0	0	0
5	6	3	10	225	15	20	1	184750	168095	83105	2	83125	1	50529	5	0	0	0	0
5	6	4	10	225	15	20	1	184750	133317	83105	2	83122	1	83032	1	50043	1	0	0
5	7	1	10	225	15	20	1	207140	161197	83106	2	83116	1	39068	3	0	0	0	0
5	7	2	10	225	15	20	1	207140	131346	83106	2	83119	1	83037	2	0	0	0	0
5	7	3	10	225	15	20	1	207140	173138	83106	2	83125	1	50529	5	0	0	0	0
5	7	4	10	225	15	20	1	207140	137316	83106	2	83122	1	83032	1	50043	1	0	0
5	8	1	10	225	15	20	1	232250	166033	83107	2	83116	1	39068	3	0	0	0	0
5	8	2	10	225	15	20	1	232250	135286	83107	2	83119	1	83037	2	0	0	0	0
5	8	3	10	225	15	20	1	232250	178332	83107	2	83125	1	50529	5	0	0	0	0
5	8	4	10	225	15	20	1	232250	141435	83107	2	83122	1	83032	1	50043	1	0	0
5	9	1	10	225	15	20	1	260400	171014	83108	2	83116	1	39068	3	0	0	0	0
5	9	2	10	225	15	20	1	260400	139345	83108	2	83119	1	83037	2	0	0	0	0
5	9	3	10	225	15	20	1	260400	183682	83108	2	83125	1	50529	5	0	0	0	0
5	9	4	10	225	15	20	1	260400	145679	83108	2	83122	1	83032	1	50043	1	0	0
5	10	1	10	225	15	20	1	291960	176144	83109	2	83116	1	39068	3	0	0	0	0
5	10	2	10	225	15	20	1	291960	143525	83109	2	83119	1	83037	2	0	0	0	0
5	10	3	10	225	15	20	1	291960	189192	83109	2	83125	1	50529	5	0	0	0	0
5	10	4	10	225	15	20	1	291960	150049	83109	2	83122	1	83032	1	50043	1	0	0
5	11	1	10	225	15	20	1	327350	181429	83110	2	83116	1	39068	3	0	0	0	0
5	11	2	10	225	15	20	1	327350	147831	83110	2	83119	1	83037	2	0	0	0	0
5	11	3	10	225	15	20	1	327350	194868	83110	2	83125	1	50529	5	0	0	0	0
5	11	4	10	225	15	20	1	327350	154550	83110	2	83122	1	83032	1	50043	1	0	0
5	12	1	10	225	15	20	1	367020	186872	83111	2	83116	1	39068	3	0	0	0	0
5	12	2	10	225	15	20	1	367020	152266	83111	2	83119	1	83037	2	0	0	0	0
5	12	3	10	225	15	20	1	367020	200714	83111	2	83125	1	50529	5	0	0	0	0
5	12	4	10	225	15	20	1	367020	159187	83111	2	83122	1	83032	1	50043	1	0	0
5	13	1	10	225	15	20	1	411510	192478	83112	2	83116	1	39068	3	0	0	0	0
5	13	2	10	225	15	20	1	411510	156834	83112	2	83119	1	83037	2	0	0	0	0
5	13	3	10	225	15	20	1	411510	206735	83112	2	83125	1	50529	5	0	0	0	0
5	13	4	10	225	15	20	1	411510	163963	83112	2	83122	1	83032	1	50043	1	0	0
5	14	1	10	225	15	20	1	443150	198252	83113	2	83116	1	39068	3	0	0	0	0
5	14	2	10	225	15	20	1	443150	161539	83113	2	83119	1	83037	2	0	0	0	0
5	14	3	10	225	15	20	1	443150	212937	83113	2	83125	1	50529	5	0	0	0	0
5	14	4	10	225	15	20	1	443150	168881	83113	2	83122	1	83032	1	50043	1	0	0
5	15	1	10	225	15	20	1	478000	204200	83114	2	83116	1	39068	3	0	0	0	0
5	15	2	10	225	15	20	1	478000	166385	83114	2	83119	1	83037	2	0	0	0	0
